Source Term,Source Term Hot Key,Target Term,Target Term Hot Key,Category,Type,Environment,Product,Comments
Page Setup,,Параметры страницы,,GEN,,WIN,Standard,GUI
Pages,,Страницы,Т,GEN,,WIN,Standard,GUI
palette,,цветовая палитра / палитра,,GEN,,WIN,Standard,GUI
pane,,подокно,,GEN,,WIN,Standard,GUI
Paper Size,,Размер бумаги,Р,GEN,,WIN,Standard,GUI
Paragraph,,Абзац... ,Б,GEN,,WIN,Standard,GUI
paste,,вставить,,GEN,,WIN,Standard,GUI
Paste,,Вставить,А,COM,,WIN,Standard,GUI
Paste Link,,Вставить связь,,COM,,WIN,Standard,GUI
Paste Special,,Специальная вставка,С,COM,,WIN,Standard,Can change for Chicago
PAUSE ,,PAUSE ,,KEY,,WIN,Standard,GUI
PG DN,,PAGE DOWN (PG DN),,KEY,,WIN,Standard,GUI
PG UP,,PAGE UP (PG UP),,KEY,,WIN,Standard,GUI
PIF Editor,,Редактор PIF,,GEN,,WIN,Standard,GUI
point,,указать на,,GEN,,WIN,Standard,GUI
pointer,,указатель,,GEN,,WIN,Standard,GUI
Portrait,,Книжная,,GEN,,WIN,Standard,GUI
Preferences,,Общая настройка,,GEN,,WIN,Standard,GUI
press and hold down,,нажать и удерживать,,GEN,,WIN,Standard,GUI
Print,,Печать ,П,COM,,WIN,Standard,GUI
Print Manager,,Диспетчер печати,,GEN,,WIN,Standard,GUI
Print Preview,,Предварительный просмотр,Д,COM,,WIN,Standard,GUI
Print Quality,,Качество печати,Ч,GEN,,WIN,Standard,GUI
Print Range,,Распечатываемая область,,GEN,,WIN,Standard,GUI
PRINT SCREEN,,PRINT SCREEN,,KEY,,WIN,Standard,GUI
Print Setup,,Настройка печати... ,А,COM,,WIN,Standard,GUI
Print to File,,Печать в файл,Ф,GEN,,WIN,Standard,GUI
Print Topic,,Печать темы,П,COM,,WIN,Standard,GUI
Printer,,Принтер,,GEN,,WIN,Standard,GUI
Printer Setup,,Настройка печати,,COM,,WIN,Standard,GUI
program group,,группа программ / группа,,GEN,,WIN,Standard,GUI
program item,,программа,,GEN,,WIN,Standard,GUI
Program Manager,,Программы,,GEN,,WIN,Standard,GUI
program-item icon,,значок приложения / программы,,GEN,,WIN,Standard,GUI
progress indicator,,показатель выполнения (задания),,GEN,,WIN,Standard,GUI
push button,,кнопка,,GEN,,WIN,Standard,GUI
Quit,,Завершить,,GEN,,WIN,Standard,GUI
radio button,,зависимый переключатель,,GEN,,WIN,Standard,GUI
Read Only,,Только для чтения,Ч,GEN,,WIN,Standard,GUI
Record,,Записать... ,З,COM,,WIN,Standard,GUI
Recorder,,Запись макрокоманд / Запись макросов,,GEN,,WIN,Standard,GUI
Redo,,Вернуть,,GEN,,WIN,Standard,GUI
reduce selection,,сжать выделение (выделенную область),,GEN,,WIN,Standard,GUI
Remove Split,,Убрать разбивку,,COM,,WIN,Standard,GUI
Repeat,,Повторить,,COM,,WIN,Standard,GUI
Replace All,,Заменить все ,С,GEN,,WIN,Standard,GUI
Replace With,,Заменить на,Н,GEN,,WIN,Standard,GUI
Replace,,Замена...,З,COM,,WIN,Standard,GUI
Reset,,Сброс,,GEN,,WIN,Standard,GUI
resize,,изменить размер,,GEN,,WIN,Standard,GUI
restore,,восстановить,,GEN,,WIN,Standard,GUI
Restore,,Восстановить,В,COM,,WIN,Standard,GUI
Restore button,,"кнопка ""восстановить""",,GEN,,WIN,Standard,GUI
Resume,,Возобновить,,GEN,,WIN,Standard,GUI
Retry,,Повторить,,GEN,,WIN,Standard,GUI
Reverse,,Обратно / Назад ,,COM,,WIN,Standard,GUI
Revert,,Исходное состояние... ,,COM,,WIN,Standard,GUI
right aligned,,[выровненный] по правому краю,П,GEN,,WIN,Standard,GUI
RIGHT ARROW,,СТРЕЛКА ВПРАВО,,KEY,,WIN,Standard,GUI
right scroll arrow,,стрелка прокрутки вправо,,GEN,,WIN,Standard,GUI
right window border,,правая граница окна,,GEN,,WIN,Standard,GUI
ruler,,линейка,,GEN,,WIN,Standard,GUI
Run,,Выполнить... ,В,COM,,WIN,Standard,GUI
Sample,,Образец (O) / Пример,,GEN,,WIN,Standard,GUI
Save,,Сохранить ,С,COM,,WIN,Standard,GUI
Save All,,Сохранить все,,COM,,WIN,Standard,GUI
Save As,,Сохранить как... ,К,COM,,WIN,Standard,GUI
Save File as Type,,Тип сохраняемого файла ,Т,GEN,,WIN,Standard,GUI
Scale,,масштаб / изменить масштаб,,MNU,,WIN,Standard,Can change for Chicago
scale,,Шкала,Ш,GEN,,WIN,Standard,GUI
Scaling,,Изменение масштаба,,GEN,,WIN,Standard,GUI
scroll,,прокрутить,,GEN,,WIN,Standard,GUI
scroll arrow,,стрелка прокрутки,,GEN,,WIN,Standard,GUI
scroll bar,,полоса прокрутки,,GEN,,WIN,Standard,GUI
scroll box,,бегунок,,GEN,,WIN,Standard,GUI
SCROLL LOCK,,SCROLL LOCK,,KEY,,WIN,Standard,GUI
Scroll Lock on (SCRL),,SCRL,,KEY,,WIN,Standard,GUI
Search,,Поиск,,COM,,WIN,Standard,GUI
Search,,Поиск... ,П,GEN,,WIN,Standard,GUI
Search for Help on,,Поиск справки о,П,COM,,WIN,Standard,GUI
Search,,Раздел (Раз),,COM,,WIN,Standard,GUI
Section (Sec),,Раздел...,,GEN,,WIN,Standard,GUI
Section,,выбрать/выделить,,GEN,,WIN,Standard,GUI
select,,выбрать / выделить,,GEN,,WIN,Standard,GUI
"select (check box, option button)",,установить флажок / выбрать кнопку переключателя,,GEN,,WIN,Standard,GUI
select (data),,выбрать (данные),,GEN,,WIN,Standard,GUI
select (drop-down menu),,выбрать (раскрывающееся меню),,GEN,,WIN,Standard,GUI
select (list box),,выбрать (окно списка),,GEN,,WIN,Standard,GUI
selected command,,выделенная команда,,GEN,,WIN,Standard,GUI
Selection,,Выбор/выделение,,GEN,,WIN,Standard,GUI
selection cursor,,курсор выделения,,GEN,,WIN,Standard,Can change for Chicago
Set,,Задать / Установить,,GEN,,WIN,Standard,GUI
Setup,,Установка,,GEN,,WIN,Standard,GUI
SHIFT,,SHIFT,,KEY,,WIN,Standard,GUI
Short Menus,,Краткие меню,,GEN,,WIN,Standard,GUI
shortcut key,,быстрая клавиша (обычно не переводится),,GEN,,WIN,Standard,GUI
Size,,Размер,Р,GEN,,WIN,Standard,GUI
size,,размер,,GEN,,WIN,Standard,GUI
Size (font size),,Размер (размер шрифта) ,Р,GEN,,WIN,Standard,GUI
sizing handle,,маркер изменения размера,,GEN,,WIN,Standard,Can change for Chicago
slider,,ползунок,,GEN,,WIN,Standard,Can change for Chicago
slider indicator,,движок,,GEN,,WIN,Standard,GUI
small capitals,,маленькие прописные (капитель),,GEN,,WIN,Standard,GUI
Sound Recorder,,Звукозапись,,GEN,,WIN,Standard,GUI
Sound,,Звук... ,З,COM,,WIN,Standard,GUI
Source (paper),,Подача (бумаги),И,GEN,,WIN,Standard,GUI
source application,,приложение-источник ,,GEN,,WIN,Standard,GUI
source document,,документ-источник,,GEN,,WIN,Standard,GUI
SPACEBAR,,ПРОБЕЛ,,KEY,,WIN,Standard,GUI
spin box,,поле счетчика ,,GEN,,WIN,Standard,GUI
Split,,Разбить,Б,COM,,WIN,Standard,GUI
split,,разбить,,GEN,,WIN,Standard,GUI
split bar,,линия разбивки,,GEN,,WIN,Standard,GUI
status bar,,строка состояния,,GEN,,WIN,Standard,GUI
status-bar indicator,,индикатор строки состояния,,GEN,,WIN,Standard,Can change for Chicago
submenu,,подменю,,GEN,,WIN,Standard,GUI
switch,,переключить,,GEN,,WIN,Standard,GUI
Switch to,,Переключиться в,,GEN,,WIN,Standard,GUI
Switch to,,Переключиться в...,Е,COM,,WIN,Standard,GUI
SYS RQ,,SYS RQ,,KEY,,WIN,Standard,GUI
TAB,,TAB,,KEY,,WIN,Standard,GUI
Terminal,,Терминал,,GEN,,WIN,Standard,GUI
text box,,окно текста / текстовое поле ,,GEN,,WIN,Standard,GUI
text frame,,рамка текста,,GEN,,WIN,Standard,GUI
Tile,,Рядом,,COM,,WIN,Standard,GUI
tiled windows,,окна мозаикой,,GEN,,WIN,Standard,GUI
Time,,Время,В,GEN,,WIN,Standard,GUI
title bar,,строка заголовка,,GEN,,WIN,Standard,GUI
tool,,инструменты / средства,,GEN,,WIN,Standard,Can change for Chicago
toolbar,,панель инструментов / ... инструментальных средств,,GEN,,WIN,Standard,Can change for Chicago
toolbox,,набор инструментов / средств,,GEN,,WIN,Standard,Can change for Chicago
Tools,,Инструменты /  Средства / Сервис,,MNU,,WIN,Standard,Can change for Chicago
top window border,,верхняя граница окна,,GEN,,WIN,Standard,GUI
Tracks,,Фонограммы / Дорожки,,COM,,WIN,Standard,GUI
Tutorial,,Учебник,У,GEN,,WIN,Standard,GUI
type,,набрать / ввести,,GEN,,WIN,Standard,GUI
unavailable command,,недоступная команда,,GEN,,WIN,Standard,GUI
underline,,подчеркивание,П,GEN,,WIN,Standard,GUI
Undo,,Отменить ,О,COM,,WIN,Standard,GUI
unfreeze,,разморозить,,GEN,,WIN,Standard,GUI
Unfreeze Panes,,Разморозить подокна,,COM,,WIN,Standard,GUI
Unhide,,Показать...,,COM,,WIN,Standard,GUI
Up,,Вверх ,В,GEN,,WIN,Standard,GUI
UP ARROW,,СТРЕЛКА ВВЕРХ,,KEY,,WIN,Standard,GUI
up scroll arrow,,стрелка прокрутки вверх,,GEN,,WIN,Standard,GUI
update,,Обновить,,GEN,,WIN,Standard,GUI
Update,,обновить,,COM,,WIN,Standard,GUI
Utilities,,Служебные программы /  Утилиты,,MNU,,WIN,Standard,GUI
value set,,набор значений,,GEN,,WIN,Standard,GUI
vertical scroll bar,,вертикальная полоса прокрутки,,GEN,,WIN,Standard,GUI
vertical split bar,,вертикальная линия разбивки,,GEN,,WIN,Standard,GUI
view,,Просмотр ,,GEN,,WIN,Standard,GUI
View,,просмотреть,,MNU,,WIN,Standard,GUI
wallpaper,,обои,,GEN,,WIN,Standard,GUI
warning message,,предупреждение / предупреждающее сообщение,,GEN,,WIN,Standard,GUI
wildcard,,подстановочные символы / символы шаблона,,GEN,,WIN,Standard,GUI
window,,окно,,GEN,,WIN,Standard,GUI
Window,,Окно,О,MNU,,WIN,Standard,GUI
window background,,фон окна,,GEN,,WIN,Standard,GUI
window border,,граница окна,,GEN,,WIN,Standard,GUI
window corner,,угол окна,,GEN,,WIN,Standard,GUI
window frame,,рамка окна,,GEN,,WIN,Standard,GUI
window size,,размер окна,,GEN,,WIN,Standard,GUI
window title,,заголовок окна,,GEN,,WIN,Standard,GUI
Windows Setup,,Windows Setup / Установка Windows,,GEN,,WIN,Standard,GUI
workspace,,[рабочая] обстановка,,GEN,,WIN,Standard,GUI
Yes,,Да,,GEN,,WIN,Standard,GUI
,,,,,,,,
,,,,,,,,
,,,,,,,,
