ENTER (Mac),,touche Entrée,,KEY,,WIN,Standard,,
ENTER (PC keypad),,ENTREE,,KEY,,WIN,Standard,GUI Guide,
ENTER (PC),,ENTREE,,KEY,,WIN,Standard,Style Guide,
entry,,entrée,,GEN,N,WIN,Standard,,
error,,erreur,,GEN,N,WIN,Standard,
error message,,message d'erreur,,GEN,N,WIN,Standard,
ESC,,ECHAP,,KEY,,WIN,Standard,Style Guide
Exit,,Quitter,,COM,,WIN,Standard,GUI Guide
Exit and Return to,,Quitter et retourner dans,,COM,,WIN,Standard,GUI Guide
expand,,développer,,GEN,V,WIN,Standard,GUI Guide
expanded memory,,mémoire paginée,,GEN,N,WIN,Standard,
EXT (extended selection),,EXT,,GEN,,WIN,Standard,Status bar abbreviation
extend selection,,étendre la sélection,,GEN,N,WIN,Standard,GUI Guide
Extended Industry Standard Architecture,,norme EISA,,GEN,,WIN,Standard,Dict. de l'Informatique (MSPress France)
extended memory,,mémoire étendue,,GEN,N,WIN,Standard,
extension,,extension,,GEN,N,WIN,Standard,
FAT( File Allocation Table),,Table d'allocation des fichiers,,GEN,,WIN,Standard,
fatal error,,erreur fatale,,GEN,N,WIN,Standard,
fax (facsimile),,télécopie,,GEN,N,WIN,Standard,
feature,,fonctionnalité / caractéristique,,GEN,N,WIN,Standard,
Feature Guide,,Guide des fonctionnalités,,GEN,,WIN,Standard,For manual titles,
field,,champ,,GEN,N,WIN,Standard,Do not use to refer to a box or option in a dialog box.,A location in a record.
file,,fichier,,GEN,N,WIN,Standard,,
File,,Fichier,,MNU,,WIN,Standard,GUI Guide,
file extension,,extension / suffixe,,GEN,N,WIN,Standard,,
file format,,format de fichier,,GEN,N,WIN,Standard,,
file handle,,descripteur de fichier,,GEN,N,WIN,Standard,Used in MS-DOS,"In MS-DOS and OS/2 a ""token"" that the system uses to refer to an open file."
file handle,,handle de fichier,,GEN,N,WIN,Standard,Used in WinNT,"In MS-DOS and OS/2 a ""token"" that the system uses to refer to an open file."
File Manager,,Gestionnaire de fichiers,,TDB,N,WIN,Standard,GUI Guide,
File Name,,Nom de fichier,,DIA,,WIN,Standard,GUI Guide,
file type,,type de fichier,,GEN,,WIN,Standard,,
filename,,nom de fichier,,GEN,N,WIN,Standard,,
filename extension,,extension de nom de fichier,,GEN,,WIN,Standard,,
filter,,filtre,,GEN,N,WIN,Standard,,
Find,,Rechercher,,COM,,WIN,Standard,GUI Guide,
Find Next,,Suivant,,BUT,,WIN,Standard,GUI Guide,
Find What,,Rechercher,,BUT,,WIN,Standard,,
Finder,,Finder,,GEN,,WIN,Standard,An interface to the Mac operating system.,
floppy disk,,disquette,,GEN,,WIN,Standard,,
folder,,dossier,,GEN,,WIN,Standard,,
following,,suivant,,GEN,,WIN,Standard,,
font,,police,,GEN,N,WIN,Standard,GUI Guide,A set of characters of the same typeface.
Font Size,,Taille de police,,DIA,N,WIN,Standard,,
font size,,taille de police,,GEN,N,WIN,Standard,,
font style,,style de police,,GEN,N,WIN,Standard,GUI Guide,
"For media info, see top flap.",,Le type de support inclus dans ce coffret est indiqué sur le rabat supérieur,,TXT,,WIN,Standard,Standard packaging sentence; approved by sub.,
form letter,,lettre type,,GEN,N,WIN,Standard,,
format,,format,,GEN,V,WIN,Standard,,
Format,,Format,,MNU,,WIN,Standard,,
formula,,formule,,GEN,N,WIN,Standard,,
formula bar,,barre de formule,,GEN,N,WIN,Standard,,The bar below the tool bar that displays the content of a cell or line. Used mainly in spreadsheets.
fraction,,fraction,,GEN,N,WIN,Standard,,
frame,,cadre,,GEN,N,WIN,Standard,
freeze,,figer,,GEN,V,WIN,Standard,GUI Guide
Freeze Panes,,Figer les volets,,COM,,WIN,Standard,GUI Guide
From ,,De/Du,,DIA,,WIN,Standard,GUI Guide
Full Menus,,Menus longs,,COM,,WIN,Standard,"toggles with ""Short Menus"" "
function,,fonction,,GEN,N,WIN,Standard,
function key,,touche de fonction,,GEN,N,WIN,Standard,
gallery,,présentation,,GEN,N,WIN,Standard,GUI Guide
game,,jeu,,GEN,N,WIN,Standard,GUI Guide
gateway,,passerelle,,GEN,N,WIN,Standard,
GB (gigabyte),,gigaoctet,,GEN,N,WIN,Standard,also Gb in US
genitive ending,,flexion du génitif,,GEN,N,WIN,Standard,
Getting Started,,Mise en route,,GEN,,WIN,Standard,For manual titles
Gigabyte,,gigaoctet,,GEN,N,WIN,Standard,
global,,global,,GEN ,ADJ,WIN,Standard,
glossary,,glossaire,,GEN,N,WIN,Standard,GUI Guide
Go To,,Atteindre,,COM,,WIN,Standard,GUI Guide,
Goto/Gosub,,Atteindre,,BUT,,WIN,Standard,GUI Guide,
