collapse,,,skjule,,GEN,V,WIN,Standard,GUI
Collate copies,i,,Udskriv sætvis,æ,CHX,,WIN,Standard,"GUI  NOTE: changed from ""Sorter kopier"" April 94"
Column ,,,Kol,,GEN,,WIN,Standard,GUI - forkortelse på statuslinjen
column heading,,,kolonneoverskrift,,GEN,,WIN,Standard,A standard Windows control that displays information in a multicolumn list.
combo box,,,kombinationsboks,,GEN,,WIN,Standard,GUI  A standard Windows control that combines a text box and interdependent list box.  Compare drop-down combo box.
comma ,,,komma,,GEN,,WIN,Standard,
COMMAND,,,KOMMANDO,,KEY,,MAC,Standard,Macintosh key name
command button,,,kommandoknap,,GEN,,WIN,Standard,GUI  A standard Windows control used to initiate a command or set an option.  (Also known as a push button.)
command name,,,kommandonavn,,GEN,,WIN,Standard,
command separator,,,kommandoseparator,,GEN,,WIN,Standard,GUI
Commands,,,Kommandoer,,GEN,,WIN,Standard,re: disks. See also DISKETTE.DOC
"Companies, names, and data used in sample output are fictitious",,,"Firmaer, navne og data anvendt i eksempler er fiktive",,GEN,,WIN,Standard,See PACK.DOC
"Companies, names, and data used in screens and sample output are fictitious",,,"Firmaer, navne og data anvendt i skærmbilleder og andre eksempler er fiktive",,GEN,,WIN,Standard,See PACK.DOC
complete installation,,,komplet installation,,GEN,,WIN,Standard,
Complete reference information about the WordBasic macro language.,,,Komplet oversigt over WordBasic-makrosproget.,,TXT,,WIN,Standard,Main Help opening screen. See HELP.HLP
Complete/Custom Installation,,,Komplet installation/Specialinstallation,,GEN,,WIN,Standard,
component,,,komponent,,GEN,,WIN,Standard,
computer vendor,,,computerforhandler,,GEN,,WIN,Standard,
configure,,,konfigurere ,,GEN,V,WIN,Standard,
connect,,,tilslutte,,GEN,V,WIN,Standard,
constrain,,,begrænse,,GEN,V,WIN,Standard,
container application,,,klientprogram,,GEN,,WIN,Standard,GUI
container document,,,klientdokument,,GEN,,WIN,Standard,GUI
"Contains 3.5"" and 5.25"" disks",,,"Indeholder 3,5""- og 5,25""-disketter",,GEN,,WIN,Standard,See PACK.DOC
"Contains 3.5"" Disks",,,"Indeholder 3,5""-disketter",,GEN,,WIN,Standard,See PACK.DOC
"Contains 5,25"" Disks",,,"Indeholder 5,25""-disketter",,GEN,,WIN,Standard,See PACK.DOC
Contents,c,,Indhold,i,BUT,,WIN,Standard,GUI - i Hjælp
Contents,,,Indhold,i,COM,,WIN,Standard,GUI
contents,,,indhold,,GEN,,WIN,Standard,
context-sensitive help,,,kontekstsensitiv hjælp,,GEN,,WIN,Standard,Information about an object and its current condition.  It answers the questions “What is this” and “Why would I want to use it?”
contextual,,,kontekstbetinget,,GEN,,WIN,Standard,Specific to the conditions in which something exists or occurs.  
contiguous selection,,,sammenhængende markering,,GEN,,WIN,Standard,A selection that consists of a set of objects that are logically sequential or adjacent to each other.  Compare disjoint selection.  
continue,,,fortsætte,,GEN,V,WIN,Standard,
continuous,,,løbende/fortløbende/fortsat/endeløs/uendelig/kontinuert,,GEN,,WIN,Standard,
control,,,kontrol/styring,,GEN,,WIN,Standard,
control,,,kontrolelement,,GEN,N,WIN,Standard,"An object that enables user interaction or input, often to initiate an action, display information, or set values.  "
control ,,,styre/kontrollere,,GEN,V,WIN,Standard,
Control menu,,,Kontrolmenu,,MNU,,WIN,Standard,GUI
Control Panel,,,Kontrolpanel,,GEN,,WIN,Standard,GUI - program - Skrives med stort og bøjes ikke. Eksempel: Sådan ændres indstillingerne i Kontrolpanel
Control Panels,,,Kontrolpaneler,,GEN,,MAC,Standard,Macintosh
control-menu box,,,kontrolmenuboks,,GEN,,WIN,Standard,GUI
conventional memory,,,konventionel hukommelse,,GEN,,WIN,Standard,Memory from 0 to 640 KB.
Converters,,,Konverteringsprogrammer,,GEN,,WIN,Standard,re: setup
coordinate,,,koordinat,,GEN,,WIN,Standard,
Copies,c,,Kopier ,k,TXB,,WIN,Standard,GUI
Copy,c,,Kopier,o,COM,,WIN,Standard,GUI
copy,,,kopiere,,GEN,V,WIN,Standard,GUI
copy,,,kopi/eksemplar,,GEN,,WIN,Standard,
Copy Special,s,,Kopier speciel  ,c,COM,,WIN,Standard,GUI
copyright ,,,copyright,,GEN,,WIN,Standard,
Copyright symbol,,,copyrightsymbol,,GEN,,WIN,Standard,©
corrupt,,,beskadiget,,GEN,ADJ,WIN,Standard,
Create,,,Opret,,BUT,,WIN,Standard,GUI
create ,,,oprette,,GEN,V,WIN,Standard,
Create Publisher,,,Opret udgiver,,GEN,,MAC,Standard,Macintosh
Creates new document,,,Opretter et nyt dokument,,TXT,,WIN,Standard,status bar message
critical message,,,alvorlig meddelelse,,GEN,,WIN,Standard,GUI
Croatia,,,Kroatien,,GEN,,WIN,Standard,
Croatian,,,kroatisk,,GEN,,WIN,Standard,
crop,,,beskære,,GEN,V,WIN,Standard,GUI
cross platform fonts,,,Skrifttyper til flere systemer,,GEN,,WIN,Standard,
cross-hair pointer,,,krydsmarkør,,GEN,,WIN,Standard,GUI
CTRL,,,CTRL,,KEY,,WIN,Standard,GUI
Ctrl key,,,CTRL-tast,,KEY,,WIN,Standard,
CTRL+-,,,CTRL+-(BINDESTREG),,KEY,,WIN,Standard,
Ctrl+A,,,Ctrl+A,,KEY,,WIN,Standard,Select All/Marker alt
Ctrl+Alt+E,,,Ctrl+Alt+E,,KEY,,WIN,Standard,Endnote/Slutnote/
Ctrl+Alt+F,,,Ctrl+Alt+F,,KEY,,WIN,Standard,Footnote/Fodnote
Ctrl+Alt+O,,,Ctrl+Alt+O,,KEY,,WIN,Standard,Outline/Disposition/
Ctrl+Alt+S,,,Ctrl+Alt+S,,KEY,,WIN,Standard,Split/Opdel/
CTRL+B,,,CTRL+F ,,KEY,,WIN,Standard,GUI  Bold/Fed
CTRL+C,,,CTRL+C ,,KEY,,WIN,Standard,GUI  Copy/Kopier
CTRL+D,,,CTRL+D ,,KEY,,WIN,Standard,GUI  Font/Skrifttype
CTRL+E,,,CTRL+E,,KEY,,WIN,Standard,GUI  Center align/Centreret
Ctrl+F,,,Ctrl+B,,KEY,,WIN,Standard,Find/Søg
Ctrl+G or F5,,,Ctrl+G eller F5,,KEY,,WIN,Standard,Go to/Gå til/
Ctrl+H,,,Ctrl+H,,KEY,,WIN,Standard,Replace/Erstat
CTRL+I,,,CTRL+K ,,KEY,,WIN,Standard,GUI  Italic/Kursiv
CTRL+J,,,CTRL+J ,,KEY,,WIN,Standard,GUI  Justify align/Lige margener
Ctrl+K,,,Ctrl+I,,KEY,,WIN,Standard,AutoFormat/Autoformat
CTRL+L,,,CTRL+L ,,KEY,,WIN,Standard,GUI  Left align/Venstre
Ctrl+N,,,Ctrl+N,,KEY,,WIN,Standard,New/Ny(t)
Ctrl+O,,,Ctrl+O,,KEY,,WIN,Standard,Open/Åbn
Ctrl+P,,,Ctrl+P,,KEY,,WIN,Standard,Print/Udskriv
CTRL+R,,,CTRL+R ,,KEY,,WIN,Standard,GUI  Right align/Højre
Ctrl+S,,,Ctrl+S,,KEY,,WIN,Standard,Save/Gem
Ctrl+Shift+S,,,Ctrl+Skift+S,,KEY,,WIN,Standard,Style/Typografi
CTRL+U,,,CTRL+U ,,KEY,,WIN,Standard,GUI  Underline/Understreget
CTRL+V,,,CTRL+V ,,KEY,,WIN,Standard,GUI  Paste/Sæt ind
