Minimize Icon,,Icona Riduci a icona,,GEN,,WIN,STANDARD,
Mix with File,,Missaggio con file,,COM,,WIN,STANDARD,
More,,Altro,,BUT,,WIN,STANDARD,
Mouse,,Mouse,,COM,,WIN,STANDARD,
Mouse pointer,,Puntatore del mouse,,GEN,,WIN,STANDARD,Parte dello schermo.
Move,,Sposta,,COM,,WIN,STANDARD,
Move,,Spostare,,GEN,,WIN,STANDARD,Gestione delle finestre.
MS-DOS Prompt,,Prompt di MS-DOS,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Multifinder Icon,,Icona Multifinder,,GEN,,WIN,STANDARD,
New,,Nuovo,,COM,,WIN,STANDARD,
New Window,,Nuova finestra,,COM,,WIN,STANDARD,
Next,,Successivo,,COM,,WIN,STANDARD,
Next Window,,Finestra successiva,,COM,,WIN,STANDARD,
No,,No,,BUT,,WIN,STANDARD,
No drop pointer,,Cursore di operazione non consentita,,GEN,,WIN,STANDARD,simile al cartello VIETATO L'ACCESSO
Notepad,,Blocco note,,GEN,,WIN,STANDARD,Nome applicazione Windows.
NUM,,Num,,TXT,,WIN,STANDARD,Abbreviazione barra di stato.
NUM LOCK,,Bloc num,,KEY,,WIN,STANDARD,
Number,,Numero,,COM,,WIN,STANDARD,
Number box,,Casella di numero,,GEN,,WIN,STANDARD,
Object,,Oggetto,,COM,,WIN,STANDARD,
Object linking & embedding (OLE),,Collegamento ed incorporamento di oggetti (OLE),,GEN,,WIN,STANDARD,
Object Packager,,Packager,,GEN,,WIN,STANDARD,Nome applicazione Windows.
OK,,Ok,,BUT,,WIN,STANDARD,
Old password,,Vecchia password,,DIA,,WIN,STANDARD,
OLE (object linking & embedding),,"OLE (collegamento ed incorporamento di oggetti, Object Linking and Embedding)",,GEN,,WIN,STANDARD,
OLE application,,Applicazione OLE,,GEN,,WIN,STANDARD,
Open,,Apri,,COM,,WIN,STANDARD,
Option button,,Pulsante di opzione,,GEN,,WIN,STANDARD,
Options,,Opzioni,,BUT,,WIN,STANDARD,Anche nome di menu.
Orientation,,Orientamento,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Overlapping windows,,Finestre sovrapposte,,GEN,,WIN,STANDARD,
Overview,,Cenni preliminari,,GEN,,WIN,Standard,Titolo di sezione: documentazione e Guida in linea.
Overview,,Panoramica,,GEN,,WIN,Standard,Generale (non titolo di sezione): documentazione.
OVR,,Ssc,,TXT,,WIN,STANDARD,Abbreviazione barra di stato.
Page Setup,,Imposta pagina,,COM,,WIN,STANDARD,
Pages,,Pagine,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Palette,,Pannello,,GEN,,WIN,STANDARD,Strumenti.
Palette,,Tavolozza,,GEN,,WIN,STANDARD,Paintbrush. Tavolozza di colori.
Pane,,Riquadro,,GEN,,WIN,STANDARD,Parte dello schermo.
Paper Size,,Dimensioni foglio,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Paragraph,,Paragrafo,,COM,,WIN,STANDARD,
Paste,,Incollare,,GEN,,WIN,STANDARD,
Paste Link,,Incolla collegamento,,COM,,WIN,STANDARD,
Paste Special,,Incolla speciale,,COM,,WIN,STANDARD,
PAUSE,,Pausa,,KEY,,WIN,STANDARD,
Pg,,Pg,,GEN,,WIN,STANDARD,Abbreviazione barra di stato.
PG DN,,Pggiù,,KEY,,WIN,STANDARD,
PG UP,,Pgsu,,KEY,,WIN,STANDARD,
PIF Editor,,PIF Editor,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Point,,Puntare su,,GEN,,WIN,STANDARD,Mouse
Pointer,,Puntatore,,GEN,,WIN,STANDARD,Parte dello schermo.
Portrait,,Verticale,,OPT,,WIN,STANDARD,Etichetta finestra di dialogo.
Preferences,,Preferenze,,COM,,WIN,STANDARD,
Press and hold down,,Premere e tenere premuto,,GEN,,WIN,STANDARD,
Previous Topic,,Precedente,,COM,,WIN,STANDARD,
Print,,Stampa,,COM,,WIN,STANDARD,
Print Manager,,Print Manager,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Print Preview,,Anteprima di stampa,,COM,,WIN,STANDARD,
Print Quality,,Qualità stampa,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Print Range,,Intervallo di stampa,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
PRINT SCREEN,,Stamp,,KEY,,WIN,STANDARD,
Print Setup,,Imposta stampante,,COM,,WIN,STANDARD,
Print to File,,Stampa su file,,CHX,,WIN,STANDARD,Etichetta finestra di dialogo.
Print Topic,,Stampa argomento,,COM,,WIN,STANDARD,
Printer,,Stampante,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
Printer Setup,,Imposta stampante,,COM,,WIN,STANDARD,
Program group,,Gruppo di programmi,,GEN,,WIN,STANDARD,Parte dello schermo.
Program item,,Programma,,GEN,,WIN,STANDARD,Parte dello schermo.
Program Item Icon,,Icona del programma,,GEN,,WIN,STANDARD,
Program Manager,,Program Manager,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Program-item icon,,Icona del programma,,GEN,,WIN,STANDARD,Parte dello schermo.
Progress indicator,,Indicatore di avanzamento,,GEN,,WIN,STANDARD,
Pull-down,,A discesa,,GEN,,WIN,STANDARD,
Push button,,Pulsante di comando,,GEN,,WIN,STANDARD,
Pushbutton,,Pulsante di comando,,GEN,,WIN,STANDARD,
Quit,,Esci,,BUT,,WIN,STANDARD,
Radio button,,Pulsante di scelta,,GEN,,WIN,STANDARD,
Read Only,,Sola lettura,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
REC,,Reg,,GEN,,WIN,STANDARD,Abbreviazione barra di stato.
Record,,Registra,,COM,,WIN,STANDARD,
Recorder,,Registratore,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Redo,,Ripeti,,BUT,,WIN,STANDARD,
Reduce selection,,Ridurre la selezione,,GEN,,WIN,STANDARD,
Remove Split,,Rimuovi divisione,,COM,,WIN,STANDARD,
Repeat,,Ripeti,,COM,,WIN,STANDARD,
Replace,,Sostituisci,,COM,,WIN,STANDARD,
Replace All,,Sostituisci tutto,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Replace With,,Sostituisci con,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Reset,,Reimposta,,BUT,,WIN,STANDARD,
Resize,,Ridimensionare,,GEN,,WIN,STANDARD,Gestione delle finestre.
Resizing handle,,Quadratino di ridimensionamento,,GEN,,WIN,STANDARD,
Restore,,Ripristina,,COM,,WIN,STANDARD,
