abbreviation,,abreviatura,,GEN,,WIN,Standard
down scroll arrow,,flecha de desplazamiento hacia abajo,,GEN,N,WIN,Standard,,
draft output,,calidad de borrador,,GEN,N,WIN,Standard,,Or just borrador
drag,,arrastrar,,GEN,V,WIN,Standard,,
Drag and Drop,,arrastrar y colocar,,GEN,N,WIN,Standard,,
drive,,unidad de disco,,GEN,N,WIN,Standard,,
drive A,,unidad A,,GEN,N,WIN,Standard,,
drive door,,puerta de la unidad  de disco,,GEN,N,WIN,Standard,,
drive icon,,icono de la unidad de disco ,,GEN,N,WIN,Standard,,
drive name,,nombre de la unidad de disco ,,GEN,,WIN,Standard,,
driver,,controlador,,GEN,N,WIN,Standard,,
Drives,,Unidades,L,DIA,,WIN,Standard,,
drop,,desplegar,,GEN,V,WIN,Standard,,
drop-down arrow,,flecha de lista desplegable,,GEN,N,WIN,Standard,,
drop-down combo box,,cuadro combinado desplegable,,GEN,N,WIN,Standard,,
drop-down list box,,cuadro de lista desplegable,,GEN,N,WIN,Standard,,
drop-down menu,,menú desplegable,,GEN,N,WIN,Standard,,A type of menu that drops from the menu bar and remains open.
Dynamic Data Exchange (DDE),,intercambio dinámico de datos (DDE),,GEN,N,WIN,Standard,,
e-form,,formulario electrónico,,GEN,N,WIN,Standard,,
e-mail,,correo electrónico,,GEN,N,WIN,Standard,,
earlier in this chapter,,anteriormente en este capítulo,,GEN,,WIN,Standard,,
ECMA (European Computer Manufacturers Association),,Asociación europea de fabricantes de informática,,GEN,,WIN,Standard,,
ECS (European Comminication Satellite System),,Sistema europeo de satélites de comunicaciones,,GEN,,WIN,Standard,,
Edit,,Edición,B,MNU,,WIN,Standard,,
EGA (enhanced graphics adapter),,adaptador de gráficos mejorado  (EGA),,GEN,N,WIN,Standard,,
EIA (Electronics Industries Association),,Asociación de industrias de electrónica (EIA),,GEN,,WIN,Standard,,
EISA (Extended Industry Standard Architecture),,arquitectura EISA,,GEN,,WIN,Standard,,
electronic mail,,correo electrónico ,,GEN,N,WIN,Standard,,
ellipsis,,puntos suspensivos,,GEN,N,WIN,Standard,, (...)
em dash,,guión largo ,,GEN,N,WIN,Standard,,"A punctuation mark, about the length of an M."
em space,,espacio largo 'm' ,,GEN,N,WIN,Standard,,"A space, about the length of an M."
embed,,incrustar,,GEN,V,WIN,Standard,,
embedded object,,objeto incrustado,,GEN,,WIN,Standard,,
EMM (expanded memory manager),,administrador de memoria expandida (EMM),,GEN,,WIN,Standard,,
en dash,,guión corto,,GEN,N,WIN,Standard,,"A punctuation mark, about the length of an N."
END,,FIN,,KEY,,WIN,Standard,,
end mark,,marca de fin ,,GEN,,WIN,Standard,,
engine,,procesador,,GEN,,WIN,Standard,,
engine,,máquina,,GEN,,WIN,Standard,,Máquina de datos o de gráficos. It's soft that runs a routine function.
enhanced,,ampliado,,GEN,ADJ,WIN,Standard,,[teclado] 
enter,,introducir ,,GEN,V,WIN,Standard,,
ENTER (Mac/PC keypad),,INTRO,,KEY,,WIN,Standard,,
ENTER (Mac/PC),,ENTRAR,,KEY,,WIN,Standard,,
enter box,,cuadro de introducción,,GEN,,WIN,Standard,,It's a box located in the Formula Bar with a green V-shapped sign in it
entry,,entrada,,GEN,N,WIN,Standard,,
entry,,elemento,,GEN,N,WIN,Standard,,
entry bar,,barra de entrada ,,GEN,N,WIN,Standard,,The bar below the tool bar that displays the content of a cell or line. Used mainly in spreadsheets.
EPS (encapsulated PostScript),,EPS (PostScript encapsulado),,GEN,,WIN,Standard,,
error,,error,,GEN,N,WIN,Standard,,
error handling,,manejo de errores ,,GEN,N,WIN,Standard,,
error log,,registro de errores,,GEN,N,WIN,Standard,,
error message,,mensaje de error,,GEN,N,WIN,Standard,,
ESC,,ESC,,KEY,,WIN,Standard,,
European subsidiaries,,subsidiarias europeas,,GEN,,WIN,Standard,,
Exit,,Salir,B,COM,,WIN,Standard,,
Exit and Return to,,Salir y volver a ,B,COM,,WIN,Standard,,
expand,,expandir,,GEN,V,WIN,Standard,,
expanded memory,,memoria expandida,,GEN,N,WIN,Standard,,
EXT (extended selection),,EXT (selección extendida),,GEN,,WIN,Standard,,
extend selection,,extender selección,,GEN,N,WIN,Standard,,
Extended Industry Standard Architecture,,arquitectura EISA,,GEN,,WIN,Standard,,
extended memory,,memoria extendida,,GEN,N,WIN,Standard,,
extension,,extensión,,GEN,N,WIN,Standard,,
F1 - F12,,F1 - F12  ,,GEN,,WIN,Standard,,
facsimile,,facsímil ,,GEN,N,WIN,Standard,,
FAT( File Allocation Table),,tabla de asignación de archivos (FAT),,GEN,,WIN,Standard,,
fatal error,,error fatal,,GEN,N,WIN,Standard,,
fax,,fax,,GEN,N,WIN,Standard,,
feature,,prestación,,GEN,N,WIN,Standard,,
field,,campo,,GEN,N,WIN,Standard,,A location in a record.
file,,archivo,,GEN,N,WIN,Standard,,
