English,English Hotkey,Localised,Localised Hotkey,Category,Type,Environment,Product Name,Comments
Data Only,y,Bare data,d,BUT,,WIN,Access,Ver 2.0.
Data Properties,,Dataegenskaper,,TXT,,WIN,Access,Ver 2.0. Listbox item
Data Type,,Datatype,,TXT,,WIN,Access,Ver 2.0. Property or event
Database Name,,Databasenavn,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Database to Compact From,,Database som skal komprimeres,,TDB,,WIN,Access,Ver 2.0.
Database to Compact From,,Database som skal komprimeres,,TDB,,WIN,Access,Ver 2.0.
Database to Compact Into,,Komprimer database som,,TDB,,WIN,Access,Ver 2.0.
Database to Convert From,,Database som skal konverteres,,TDB,,WIN,Access,Ver 2.0.
Database to Convert From,,Database som skal konverteres,,TDB,,WIN,Access,Ver 2.0.
Database to Convert Into,,Konverter database som,,TDB,,WIN,Access,Ver 2.0.
Database Type,,Databasetype,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Database Window,,Databasevindu,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item or toolbar button
Databases:,D,Databaser:,D,DIA,,WIN,Access,Ver 2.0.
Datasheet,s,Dataark,D,COM,,WIN,Access,Ver 2.0.
Datasheet,,Dataark,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Datasheet Font Height,,SkrifthøydeIDataark,,TXT,,WIN,Access,Ver 2.0. Property or event
Datasheet Font Italic,,KursivskriftIDataark,,TXT,,WIN,Access,Ver 2.0. Property or event
Datasheet Font Name,,SkriftIDataark,,TXT,,WIN,Access,Ver 2.0. Property or event
Datasheet Font Underline,,UstrekIDataark,,TXT,,WIN,Access,Ver 2.0. Property or event
Datasheet Font Weight,,SkrifttykkelseIDataark,,TXT,,WIN,Access,Ver 2.0. Property or event
Datasheet View,,Dataarkvisning,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Date Delimiter:,l,Datoskilletegn:,k,TXB,,WIN,Access,Ver 2.0.
Date Grouping,,Datogrupper,,TXT,,WIN,Access,Ver 2.0. Property or event
Date Order:,O,Datorekkefølge:,D,DIA,,WIN,Access,Ver 2.0.
Date/Time,,Dato/klokkeslett,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
