dithering,,Farbstufung,,,GEN,,WIN,Standard,see MS Computer Dictionary,A technique used in computer graphics to create the illusion of varying shades of gray.
DLL (dynamic-link library),,DLL,,,GEN,,WIN,Standard,
Do this,,Aktion,,,GEN,N,WIN,Standard,for table headings
docking station,,Docking-Station,,,GEN,,WIN,Standard,Duden meeting Oct. 28
document,,Dokument,,,GEN,N,WIN,Standard,Style Guide
document control menu box,,Systemmenüfeld des Dokuments,,,GEN,N,WIN,Standard,
document conventions,,Konventionen,,,GEN,N,WIN,Standard,Style Guide
document conventions,,typografische Vereinbarungen,,,GEN,,WIN,Standard,Duden meeting Oct. 28
document icon,,Dokumentsymbol,,,GEN,N,WIN,Standard,GuiGuide
document window,,Dokumentfenster,,,GEN,N,WIN,Standard,GuiGuide
domain,,Domäne,,,GEN,N,WIN,Standard,Style Guide
done,,fertig,,,GEN,,WIN,Standard,GuiGuide
DOS (disk operating system),,MS-DOS (Betriebssytem),,,GEN,N,WIN,Standard,"Always use ""MS"" before the abbreveation DOS.  If other operating systems are implied also, use the phrase: ""MS-DOS und andere DOS-Systeme""."
DOS box; Do not use,,DOS-Sitzung,,,GEN,N,WIN,Standard,Use DOS session instead.
dot-matrix character,,Matrix-Zeichen,,,GEN,N,WIN,Standard,
double byte character set,,Doppelbyte-Zeichensatz,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93"
double quotation marks,,Anführungszeichen,,,GEN,N,WIN,Standard,
Double Underline,,Doppelt unterstrichen,D,,DIA,,WIN,Standard,GuiGuide,
double-click,,doppelklicken,,,GEN,V,WIN,Standard,GuiGuide,
double-density disk,,Double Density-Diskette (DD),,,GEN,,WIN,Standard,Style Guide,A disk created to hold data at twice the density (bits per inch) of previous disks.
double-sided disk,,doppelseitige Diskette,,,GEN,,WIN,Standard,Style Guide,A floppy disk that can hold data on both its top and bottom surfaces.
Down,,Abwärts,B,,DIA,,WIN,Standard,GuiGuide,
