%s Object/Link,,%s-object/-koppeling,B/-,COM,,WIN,PUB
Print one Tile from Ruler Origin,,Eén deel vanaf het begin van de liniaal afdrukken,E,TXT,,WIN,PUB
Print Postscript Error Information,,Postscript-foutinformatie afdrukken,F,CHX,,WIN,PUB
Print Quality:,,Afdrukkwaliteit:,K,DIA,,WIN,PUB
Print Range,,Bereik,,DIA,,WIN,STANDARD
Print Setup,,Printerinstelling,I,COM,,WIN,STANDARD
Print Setup,,Printerinstelling,,TDB,,WIN,PUB
Print To,,Afdrukken naar,,DIA,,WIN,PUB
Print to File,,Naar bestand,N,CHX,,WIN,STANDARD
Print TroubleShooter,,Afdrukproblemen,A,COM,,WIN,PUB
Print Truetype as Graphics,,Truetype-lettertype als grafische tekens afdrukken,T,DIA,,WIN,PUB
Printer,,Printer,P,OPT,,WIN,PUB
Printer Setup,,Printerinstelling,I,BUT,,WIN,PUB
Printer: System Default,,Standaardprinter,,DIA,,WIN,PUB
Problem:,,Probleem:,,DIA,,WIN,PUB
Publication Name,,Bestandsnaam:,B,TXB,,WIN,PUB
Publication Name:,,Publikatienaam:,N,TXB,,WIN,PUB
Publisher Demos,,Publisher-demo's,,TDB,,WIN,PUB
Quick Demos,,Demo's,D,COM,,WIN,PUB
Read,,Lezen,L,COM,,WIN,PUB
Read Only,,Alleen-lezen,A,CHX,,WIN,PUB
Redo Adjust Colomns,,Opnieuw Kolommen aanpassen,O,COM,,WIN,PUB
Redo Adjust Column,,Opnieuw Kolom aanpassen,O,COM,,WIN,PUB
